# Vehicle, site1,site2,site3,site4,site5
0.0000000000,0.0174943500,1.0174943500,7.4082561742,9.2969571656,9.7969571656
1.0000000000,0.0383649667,0.6633649667,0.7883649667,1.8376432952,1.9626432952
2.0000000000,0.0440760000,0.5440760000,1.4986434629,2.3427728991,2.9055258566
3.0000000000,0.0454656167,0.9204656167,6.5927310649,6.8427310649,13.2334928890
4.0000000000,0.0595514000,0.1845514000,0.9345514000,1.5641183971,1.8823075515
5.0000000000,0.0715168667,0.4465168667,1.1965168667,1.8260838638,2.1442730181
6.0000000000,0.0781965833,0.2372911605,1.2865694891,1.4964251548,4.4062009788
7.0000000000,0.0928578833,0.3428578833,1.1383307691,4.5105812363,8.8752449724
8.0000000000,0.1096940833,0.9846940833,1.4619778148,7.8432764440,7.9682764440
9.0000000000,0.1098482667,0.3598482667,2.2485492581,2.3735492581,9.5631563103
10.0000000000,0.1181127667,0.7431127667,1.1181127667,4.4903632339,4.7403632339
11.0000000000,0.1238402833,1.2488402833,3.1375412748,4.6065309348,4.9815309348
12.0000000000,0.1255523000,1.2505523000,3.2201876511,3.3792822283,5.6274492064
13.0000000000,0.1303596667,1.2440217067,1.8735887039,2.4363416613,5.9815075665
14.0000000000,0.1308673000,0.5058673000,0.7558673000,2.6293397818,3.4248126676
15.0000000000,0.1459051333,0.4640942876,2.7151061175,3.9742401118,5.9438754629
16.0000000000,0.1530002500,1.5848514444,4.9571019116,6.0707639517,6.3207639517
17.0000000000,0.1570651000,0.9525379858,1.2025379858,5.0822390845,6.0368065474
18.0000000000,0.1611848667,1.2861848667,1.4452794438,6.8540560780,7.1040560780
19.0000000000,0.1683063333,1.1683063333,2.6001575277,3.1001575277,4.7884164001
20.0000000000,0.1708426667,1.2845047067,7.6752665309,8.3002665309,8.6752665309
21.0000000000,0.1849288333,1.1849288333,1.6046401648,7.9954019889,15.8307304050
22.0000000000,0.2647331667,1.5374897839,8.8521104631,13.2167741991,13.7167741991
23.0000000000,0.2769948333,2.1656958248,2.9611687105,3.4384524420,3.8581637734
24.0000000000,0.2980161667,0.6730161667,1.6275836296,3.0965732896,10.4111939688
25.0000000000,0.3166293333,0.9416293333,1.8961967963,9.2108174754,14.6195941096
26.0000000000,0.3421411667,1.7739923610,2.0921815153,6.8999829680,7.6499829680
27.0000000000,0.3521401667,1.6248967839,5.9895605200,6.4895605200,7.1145605200
28.0000000000,0.3543613333,1.4793613333,7.1516267815,14.8839587775,15.1339587775
29.0000000000,0.3624616667,2.0413069924,2.6708739895,11.3697474850,11.4947474850
30.0000000000,0.3701338333,0.8474175648,5.6552190174,5.9052190174,8.5280804919
31.0000000000,0.3759858333,2.0548311591,2.8503040448,4.5385629172,10.9293247414
