11 1000
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
0 1 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
1 2 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
