# Vehicle, site1,site2,site3,site4,site5
0.0000000000,0.0174943581,1.0174943581,3.3272827823,5.4054322842,5.9054322842
1.0000000000,0.0383649701,0.6633649701,0.7883649701,1.4945439178,1.6195439178
2.0000000000,0.0440760078,0.5440760078,1.3777563806,1.9047182888,2.2844030697
3.0000000000,0.0454656146,0.9204656146,3.0912172725,3.3893187359,5.0841555899
4.0000000000,0.0595514041,0.1845514041,0.9345514041,1.4120015768,1.6620015768
5.0000000000,0.0715168608,0.4465168608,1.1965168608,1.6173334689,1.8905590606
6.0000000000,0.0781965793,0.2259888256,1.0765332555,1.2176852869,2.2846646501
7.0000000000,0.0928578862,0.3428578862,1.0961769148,2.7399220915,5.0482947226
8.0000000000,0.1096940803,0.9846940803,1.3991412683,3.8900015760,4.0150015760
9.0000000000,0.1098482595,0.3598482595,1.9415506956,2.0665506956,4.9386738407
10.0000000000,0.1181127709,0.7431127709,1.1181127709,2.7744649862,3.0244649862
11.0000000000,0.1238402757,1.2488402757,2.6017759557,3.5345659702,3.9095659702
12.0000000000,0.1255523001,1.2505523001,2.5598343468,2.6848343468,3.7588544428
13.0000000000,0.1303596705,1.1884468063,1.6085994364,1.9484737072,3.0461648037
14.0000000000,0.1308672932,0.5058672932,0.7558672932,1.7004978631,2.5911897176
15.0000000000,0.1459051355,0.4417539663,1.9888234651,3.0088857761,4.2759008623
16.0000000000,0.1530002546,1.5128429678,3.5188018247,4.4784159841,4.7284159841
17.0000000000,0.1570651011,0.8905671020,1.1405671020,3.0815058466,3.8987267367
18.0000000000,0.1611848638,1.2861848638,1.4162204284,3.6154136705,3.8654136705
19.0000000000,0.1683063150,1.1683063150,2.3109319446,2.8109319446,4.1482135520
20.0000000000,0.1708427257,1.2064897816,3.5715137920,4.2768774969,4.6518774969
21.0000000000,0.1849288851,1.1849288851,1.5879144182,3.9224596974,6.2277983030
22.0000000000,0.2647331945,1.4260527947,3.8171664697,5.7594619631,6.2907439619
23.0000000000,0.2769948945,1.8515398042,2.6460668947,3.0210668947,3.2710668947
24.0000000000,0.2980160908,0.6730160908,1.5357976807,2.5936069523,4.9573552453
25.0000000000,0.3166294005,0.9416294005,1.7850930825,4.4886841419,7.1376554510
26.0000000000,0.3421411610,1.6694533418,1.9525208157,3.9216226839,4.8057989273
27.0000000000,0.3521402075,1.5270477299,3.7856196822,4.2856196822,4.9244004341
28.0000000000,0.3543613330,1.4793613330,3.4518027358,5.7324616164,6.0267593366
29.0000000000,0.3624616263,1.7148813948,2.1487419438,5.3958728357,5.5208728357
30.0000000000,0.3701338385,0.8100426651,2.8468954987,3.0968954987,4.5022454537
31.0000000000,0.3759858934,1.7732423058,2.4593135982,3.5408673633,5.3461594707
