=============Policy===============
(overLeft, wicketLeft, b1OverLeft, b2OverLeft, b3OverLeft, b4OverLeft, b5OverLeft) |  Bowler
(1, 1, 0, 0, 0, 0, 0) Bowler =  -1 Value = 0.00
(1, 1, 0, 0, 0, 0, 1) Bowler =  5 Value = 5.00
(1, 1, 0, 0, 0, 0, 2) Bowler =  5 Value = 5.00
(1, 1, 0, 0, 0, 1, 0) Bowler =  4 Value = 4.50
(1, 1, 0, 0, 0, 1, 1) Bowler =  4 Value = 4.50
(1, 1, 0, 0, 0, 1, 2) Bowler =  4 Value = 4.50
(1, 1, 0, 0, 0, 2, 0) Bowler =  4 Value = 4.50
(1, 1, 0, 0, 0, 2, 1) Bowler =  4 Value = 4.50
(1, 1, 0, 0, 0, 2, 2) Bowler =  4 Value = 4.50
(1, 1, 0, 0, 1, 0, 0) Bowler =  3 Value = 4.00
(1, 1, 0, 0, 1, 0, 1) Bowler =  3 Value = 4.00
(1, 1, 0, 0, 1, 0, 2) Bowler =  3 Value = 4.00
(1, 1, 0, 0, 1, 1, 0) Bowler =  3 Value = 4.00
(1, 1, 0, 0, 1, 1, 1) Bowler =  3 Value = 4.00
(1, 1, 0, 0, 1, 1, 2) Bowler =  3 Value = 4.00
(1, 1, 0, 0, 1, 2, 0) Bowler =  3 Value = 4.00
(1, 1, 0, 0, 1, 2, 1) Bowler =  3 Value = 4.00
(1, 1, 0, 0, 1, 2, 2) Bowler =  3 Value = 4.00
(1, 1, 0, 0, 2, 0, 0) Bowler =  3 Value = 4.00
(1, 1, 0, 0, 2, 0, 1) Bowler =  3 Value = 4.00
(1, 1, 0, 0, 2, 0, 2) Bowler =  3 Value = 4.00
(1, 1, 0, 0, 2, 1, 0) Bowler =  3 Value = 4.00
(1, 1, 0, 0, 2, 1, 1) Bowler =  3 Value = 4.00
(1, 1, 0, 0, 2, 1, 2) Bowler =  3 Value = 4.00
(1, 1, 0, 0, 2, 2, 0) Bowler =  3 Value = 4.00
(1, 1, 0, 0, 2, 2, 1) Bowler =  3 Value = 4.00
(1, 1, 0, 0, 2, 2, 2) Bowler =  3 Value = 4.00
(1, 1, 0, 1, 0, 0, 0) Bowler =  2 Value = 3.50
(1, 1, 0, 1, 0, 0, 1) Bowler =  2 Value = 3.50
(1, 1, 0, 1, 0, 0, 2) Bowler =  2 Value = 3.50
(1, 1, 0, 1, 0, 1, 0) Bowler =  2 Value = 3.50
(1, 1, 0, 1, 0, 1, 1) Bowler =  2 Value = 3.50
(1, 1, 0, 1, 0, 1, 2) Bowler =  2 Value = 3.50
(1, 1, 0, 1, 0, 2, 0) Bowler =  2 Value = 3.50
(1, 1, 0, 1, 0, 2, 1) Bowler =  2 Value = 3.50
(1, 1, 0, 1, 0, 2, 2) Bowler =  2 Value = 3.50
(1, 1, 0, 1, 1, 0, 0) Bowler =  2 Value = 3.50
(1, 1, 0, 1, 1, 0, 1) Bowler =  2 Value = 3.50
(1, 1, 0, 1, 1, 0, 2) Bowler =  2 Value = 3.50
(1, 1, 0, 1, 1, 1, 0) Bowler =  2 Value = 3.50
(1, 1, 0, 1, 1, 1, 1) Bowler =  2 Value = 3.50
(1, 1, 0, 1, 1, 1, 2) Bowler =  2 Value = 3.50
(1, 1, 0, 1, 1, 2, 0) Bowler =  2 Value = 3.50
(1, 1, 0, 1, 1, 2, 1) Bowler =  2 Value = 3.50
(1, 1, 0, 1, 1, 2, 2) Bowler =  2 Value = 3.50
(1, 1, 0, 1, 2, 0, 0) Bowler =  2 Value = 3.50
(1, 1, 0, 1, 2, 0, 1) Bowler =  2 Value = 3.50
(1, 1, 0, 1, 2, 0, 2) Bowler =  2 Value = 3.50
(1, 1, 0, 1, 2, 1, 0) Bowler =  2 Value = 3.50
(1, 1, 0, 1, 2, 1, 1) Bowler =  2 Value = 3.50
(1, 1, 0, 1, 2, 1, 2) Bowler =  2 Value = 3.50
(1, 1, 0, 1, 2, 2, 0) Bowler =  2 Value = 3.50
(1, 1, 0, 1, 2, 2, 1) Bowler =  2 Value = 3.50
(1, 1, 0, 1, 2, 2, 2) Bowler =  2 Value = 3.50
(1, 1, 0, 2, 0, 0, 0) Bowler =  2 Value = 3.50
(1, 1, 0, 2, 0, 0, 1) Bowler =  2 Value = 3.50
(1, 1, 0, 2, 0, 0, 2) Bowler =  2 Value = 3.50
(1, 1, 0, 2, 0, 1, 0) Bowler =  2 Value = 3.50
(1, 1, 0, 2, 0, 1, 1) Bowler =  2 Value = 3.50
(1, 1, 0, 2, 0, 1, 2) Bowler =  2 Value = 3.50
(1, 1, 0, 2, 0, 2, 0) Bowler =  2 Value = 3.50
(1, 1, 0, 2, 0, 2, 1) Bowler =  2 Value = 3.50
(1, 1, 0, 2, 0, 2, 2) Bowler =  2 Value = 3.50
(1, 1, 0, 2, 1, 0, 0) Bowler =  2 Value = 3.50
(1, 1, 0, 2, 1, 0, 1) Bowler =  2 Value = 3.50
(1, 1, 0, 2, 1, 0, 2) Bowler =  2 Value = 3.50
(1, 1, 0, 2, 1, 1, 0) Bowler =  2 Value = 3.50
(1, 1, 0, 2, 1, 1, 1) Bowler =  2 Value = 3.50
(1, 1, 0, 2, 1, 1, 2) Bowler =  2 Value = 3.50
(1, 1, 0, 2, 1, 2, 0) Bowler =  2 Value = 3.50
(1, 1, 0, 2, 1, 2, 1) Bowler =  2 Value = 3.50
(1, 1, 0, 2, 1, 2, 2) Bowler =  2 Value = 3.50
(1, 1, 0, 2, 2, 0, 0) Bowler =  2 Value = 3.50
(1, 1, 0, 2, 2, 0, 1) Bowler =  2 Value = 3.50
(1, 1, 0, 2, 2, 0, 2) Bowler =  2 Value = 3.50
(1, 1, 0, 2, 2, 1, 0) Bowler =  2 Value = 3.50
(1, 1, 0, 2, 2, 1, 1) Bowler =  2 Value = 3.50
(1, 1, 0, 2, 2, 1, 2) Bowler =  2 Value = 3.50
(1, 1, 0, 2, 2, 2, 0) Bowler =  2 Value = 3.50
(1, 1, 0, 2, 2, 2, 1) Bowler =  2 Value = 3.50
(1, 1, 0, 2, 2, 2, 2) Bowler =  2 Value = 3.50
(1, 1, 1, 0, 0, 0, 0) Bowler =  1 Value = 3.00
(1, 1, 1, 0, 0, 0, 1) Bowler =  1 Value = 3.00
(1, 1, 1, 0, 0, 0, 2) Bowler =  1 Value = 3.00
(1, 1, 1, 0, 0, 1, 0) Bowler =  1 Value = 3.00
(1, 1, 1, 0, 0, 1, 1) Bowler =  1 Value = 3.00
(1, 1, 1, 0, 0, 1, 2) Bowler =  1 Value = 3.00
(1, 1, 1, 0, 0, 2, 0) Bowler =  1 Value = 3.00
(1, 1, 1, 0, 0, 2, 1) Bowler =  1 Value = 3.00
(1, 1, 1, 0, 0, 2, 2) Bowler =  1 Value = 3.00
(1, 1, 1, 0, 1, 0, 0) Bowler =  1 Value = 3.00
(1, 1, 1, 0, 1, 0, 1) Bowler =  1 Value = 3.00
(1, 1, 1, 0, 1, 0, 2) Bowler =  1 Value = 3.00
(1, 1, 1, 0, 1, 1, 0) Bowler =  1 Value = 3.00
(1, 1, 1, 0, 1, 1, 1) Bowler =  1 Value = 3.00
